Step    Eff_PrevBest F1 F2 F3    Eff_Curr f1 f2 f3
383    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.03939393939393939 9.923608524179787 2.504063533554848 -5.134586162318498
384    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.012121212121212121 9.931440115686302 2.443850118416532 -5.299615830229832
385    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.05757575757575757 10.03621843667813 2.6616977262203108 -5.208390065077564
386    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.10606060606060605 9.852271237925669 2.5804635227392834 -5.138415157625493
387    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.06969696969696969 9.947072613428455 2.456544959171201 -5.098254010928202
388    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.05757575757575757 9.882814098353363 2.4633420276344373 -4.989132919058969
389    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.00909090909090909 9.926437018742543 2.4950110750672967 -5.162899568885581
390    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.012121212121212121 9.993501453296403 2.519648499273187 -5.186520900761533
391    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.03636363636363636 9.893314648663251 2.5241090468854894 -5.1516076186405755
392    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.00909090909090909 9.746173861231673 2.489063523609547 -5.111176961094355
393    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.030303030303030304 9.933678380671005 2.533982241599539 -5.275716096007838
394    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.021212121212121213 9.917764338440293 2.4999918650374258 -5.147909459564634
395    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.012121212121212121 9.936966234935424 2.4074763210609347 -5.15336378543892
396    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.04242424242424243 9.936651593117404 2.504306968738833 -5.1616575441678965
397    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    0.0030303030303030303 9.843450598208225 2.502940137045595 -5.143238543707766
398    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.00909090909090909 9.93788527446873 2.509036675144008 -5.166014960119535
399    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.05454545454545455 10.03566429282031 2.548149862067796 -5.150120087848831
400    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.04242424242424243 9.908192881300884 2.5645920942449885 -5.236296021007243
401    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.012121212121212121 9.920833160461363 2.413137780637675 -5.145099644033254
402    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    0.00909090909090909 9.931118828776905 2.495309263215991 -5.179961326719232
403    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.012121212121212121 9.938862461382172 2.418364115238134 -5.157720665102474
404    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.1 9.922739407668095 2.596974025217796 -5.142815111622767
405    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.06969696969696969 9.980081382797259 2.5497950632643174 -5.062778739748671
406    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.015151515151515152 10.032528563712628 2.6813389319527157 -5.506415867239159
407    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.015151515151515152 9.896161172090643 2.404661965825655 -5.1581338713882925
408    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.030303030303030304 9.940269420598975 2.507932793606288 -5.143664294707723
409    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.06969696969696969 9.916775827402013 2.5832444137247137 -5.145649168920473
410    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.0393939393939394 9.951116995499362 2.564997492487593 -5.154925896088385
411    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    0.006060606060606061 9.954729344303244 2.4764141625825364 -5.148105630148458
412    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    0.006060606060606061 10.088456277566364 2.4269272233473194 -5.340312131272732
413    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.015151515151515152 9.93454475818453 2.4777420074354395 -5.264042457569013
414    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.0393939393939394 9.934578685395806 2.447698134369857 -5.126224180211137
415    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.024242424242424242 9.937717679530339 2.504701684198653 -5.161767162786736
416    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.012121212121212121 9.96941851789577 2.4414075596316986 -5.241800193259534
417    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.05757575757575758 9.940755017917 2.507770659050032 -5.156743426450221
418    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.015151515151515152 9.969404392841524 2.4740223360791718 -5.130007925334234
419    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.012121212121212121 9.895652492565574 2.400854751651237 -5.206085127948286
420    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.021212121212121213 9.93198488313721 2.4925707120485954 -5.1841536099537
421    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.021212121212121213 9.911115997884918 2.504865251923055 -5.132284427914194
422    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.0060606060606060615 9.940506045078173 2.504873167931781 -5.158503642571953
423    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.07272727272727271 9.977522971969444 2.6276080373670645 -5.1488941289974335
424    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.05757575757575758 9.913267558407593 2.553833629981084 -5.12591822291533
425    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    0.0030303030303030303 9.819373470589081 2.6058063430742338 -5.278372355864577
426    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.027272727272727275 9.931882033872665 2.4815405386702425 -5.27270208646367
427    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.08484848484848485 9.819333589567576 2.611817700628344 -5.060388537991029
428    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.027272727272727275 9.946951674388451 2.5014255036668227 -5.1562362219647655
429    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.03333333333333333 9.959365279576218 2.4950075374439193 -5.18522537687996
430    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.030303030303030304 9.970009174505096 2.4064528715348756 -5.229076757176822
431    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.00909090909090909 9.933757953482198 2.497275439709355 -5.162691343306178
432    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.04242424242424243 9.941059380293979 2.497332986816896 -5.150994163100788
433    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.03636363636363636 9.950682477822891 2.5064944049071896 -5.188570186220331
434    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.07272727272727271 9.952087886184236 2.5237801108248106 -5.137250278442913
435    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.03636363636363636 9.8816483624029 2.549215976402575 -5.221017892737026
436    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.07272727272727271 9.930735213440338 2.5544668703399145 -5.155623729705231
437    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.0909090909090909 9.92346536946816 2.489238807459529 -5.080224655770586
438    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.04242424242424242 9.927745113095845 2.4941200730337822 -5.143881372562563
439    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.027272727272727275 9.930024420586916 2.450951951156414 -5.20275027513103
440    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.00909090909090909 10.03341571426441 2.377572451353538 -5.03564758441581
441    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.08787878787878788 9.965031696446033 2.581268638895986 -5.193715571688008
442    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.05757575757575758 9.851582749425008 2.455686987304411 -5.133895086826045
443    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.03333333333333333 9.949437624885933 2.5253025378207123 -5.090660595554632
444    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.06969696969696969 10.013269672066619 2.483022752546821 -5.139117657382874
445    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.05757575757575758 9.829488919899058 2.4815805857392856 -5.162208034729716
446    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.07272727272727272 9.967421329623212 2.5344646922058223 -5.139992136211848
447    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.027272727272727275 9.849449953118874 2.4767573438949473 -5.17374363362665
448    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.06969696969696969 10.012548661610673 2.5266628854594475 -5.140380621790001
449    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.0030303030303030307 9.960642136838153 2.5456505470586 -5.28065941569079
450    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.030303030303030304 10.05077260097242 2.5561884118276805 -5.229022016656891
451    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.13030303030303028 9.937004051115798 2.5925369878578857 -5.032713639785927
452    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.030303030303030304 9.867554166458962 2.5232333497433705 -5.088523763776005
453    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.06666666666666667 9.922447672205342 2.5131405438959713 -5.089074648509845
454    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.06060606060606061 9.962866560300464 2.5193757574233673 -5.168801163000672
455    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.024242424242424242 9.928258274866911 2.507441056244332 -5.155334390509455
456    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.024242424242424242 9.9246659409415 2.597950232758413 -5.12113165081151
457    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.06969696969696969 9.939654531526486 2.466342682622585 -5.08353020427338
458    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.04242424242424243 10.012827338132984 2.4128993914003183 -5.05611029018095
459    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.00909090909090909 10.012817825460283 2.480710899333569 -5.154616468632155
460    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.0060606060606060615 9.977719914929455 2.4693720813438373 -5.1658630954997475
461    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.012121212121212121 9.791404778693598 2.379697575510023 -5.180877736887717
462    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.015151515151515152 9.950624779046008 2.5035508150034493 -5.1117857699034435
463    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.03636363636363636 9.7984886405842 2.552784284740979 -5.055544789535731
464    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.03333333333333333 9.934327879020042 2.501890436690543 -5.142820628458233
465    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.04242424242424243 9.98292402564079 2.4751717636866837 -5.160020675759584
466    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.045454545454545456 9.9093526792192 2.4489839295085103 -5.122562467371405
467    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.05454545454545454 9.994487874852565 2.4294119524310394 -5.061163092314263
468    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    0.0030303030303030303 9.94014997553075 2.5092792674728437 -5.163416342070916
469    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.05454545454545455 9.912413848657163 2.454108826157095 -5.12227634224304
470    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.027272727272727275 9.756011469808941 2.438774145907956 -5.126407332747587
471    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.04242424242424243 9.92184819574607 2.4156349220203874 -5.114440241451521
472    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.030303030303030304 9.86546275787494 2.4466914727541655 -5.16808692535414
473    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.045454545454545456 9.982975820997396 2.4739676854465737 -5.142747328215172
474    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.09696969696969697 10.030775731727417 2.5637867440785156 -5.036936616752447
475    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.06666666666666665 9.838956682691862 2.5852860256347823 -5.105433797525598
476    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.07575757575757575 10.01448063494425 2.5469535731447057 -5.167481041691703
477    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.0060606060606060615 9.925284495611155 2.48280326076367 -5.1486671119216325
478    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.0030303030303030307 10.01883922398676 2.372981710801473 -5.062405368746132
479    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.012121212121212123 9.962823179617882 2.508209952742384 -5.15554205916727
480    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.051515151515151514 10.000289904494714 2.535325459572819 -5.1335123973631145
481    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.06666666666666665 9.912436214005314 2.529995936411218 -5.102329192144848
482    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.045454545454545456 9.91991230768219 2.5104072007402247 -5.2174725950104435
483    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    0.006060606060606061 9.901419974257974 2.399880461302351 -5.281764546629168
484    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.05757575757575758 9.88676873227415 2.5512209619308526 -5.139553779601131
485    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.05454545454545454 9.84576123336418 2.5535745111500394 -5.120607767736075
486    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.09696969696969696 9.975735752762631 2.528748865405464 -5.0658746855567545
487    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.05454545454545455 10.046343991481475 2.4378532298925504 -5.016973468553825
488    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.06666666666666667 9.999629711307845 2.486014510138677 -5.067492397418386
489    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.1 9.947038970769706 2.5148836162159665 -5.103354219544428
490    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.027272727272727275 9.934827171501725 2.507665733788541 -5.187940746855827
491    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.027272727272727275 9.882654400459778 2.581522165653991 -5.156678697908503
492    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.021212121212121213 9.944382379582446 2.511593464082947 -5.16770210437837
493    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.00909090909090909 9.946570054981652 2.504098548398645 -5.173225209985902
494    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.00909090909090909 9.950612538098467 2.5101356152307908 -5.167898869088883
495    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.03636363636363636 9.975479281104336 2.4848391235673954 -5.116883346279443
496    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.027272727272727275 10.197661999057086 2.484273944192528 -5.19383580994525
497    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.06060606060606061 9.99874098484635 2.571053706022388 -5.070644558349998
498    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.00909090909090909 9.943970164634747 2.489703686112538 -5.187720104948793
499    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.045454545454545456 9.97919344290256 2.523907434296422 -5.246806115327878
500    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.04242424242424243 9.994220470770284 2.5366956541249355 -5.118225166326843
501    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.00909090909090909 9.931879656957646 2.5004255874200063 -5.185240100509177
502    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.03939393939393939 9.939565565301773 2.506268161815211 -5.1582856827812105
503    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.0393939393939394 9.856201193950403 2.555689961549661 -5.194239454304637
504    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.045454545454545456 9.939331153703275 2.576683619429342 -5.079237183457893
505    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.13333333333333333 10.067762761306838 2.6685800544515526 -5.147151182507357
506    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.0060606060606060615 9.881990207218767 2.5215470267111284 -5.206657773945694
507    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.04545454545454545 9.933481408462542 2.5086941632616515 -5.161476114093226
508    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.00909090909090909 9.878348700482471 2.569194529110688 -5.27809398571682
509    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.012121212121212121 9.965963765726046 2.514377623296182 -5.237207247117208
510    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.027272727272727275 9.98500992905663 2.3415515526618558 -5.124234681137117
511    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.06666666666666665 9.955773533215522 2.5321061170566304 -5.15402842360862
512    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.05454545454545455 10.001155116821476 2.5894542037268926 -5.117362539389121
513    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.051515151515151514 9.909505521732065 2.5818119443288166 -5.181219053503985
514    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.05757575757575757 9.820738245200742 2.637803554694351 -5.2351143019939315
515    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.030303030303030297 9.980822233975164 2.5571265027450867 -5.140023460948976
516    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.024242424242424242 9.950394085667025 2.512112885357484 -5.149694694946355
517    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.024242424242424242 9.870066009812096 2.5414865853373017 -5.158326069983262
518    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.03636363636363636 9.942734608759169 2.5042497166268864 -5.142974002880337
519    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.05757575757575757 10.010934559870645 2.66540911151233 -5.315825808316973
520    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.012121212121212121 9.882542182793424 2.518855696631473 -5.230884116411254
521    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.03636363636363636 9.93090668315937 2.5529127806597622 -5.19467155365247
522    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.04242424242424243 9.926683412065985 2.4940992500430057 -5.1004019816902275
523    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.012121212121212121 9.99284418582813 2.4056459115463222 -5.218529524953292
524    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.05454545454545455 10.016848971326722 2.455536397556185 -5.1581117601539495
525    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.0060606060606060615 9.937078643533606 2.502013809354043 -5.152261995396582
526    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.04242424242424243 9.941290836186448 2.4408028228307863 -5.197542220724565
527    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.10303030303030303 9.936466918824243 2.5137345688012354 -5.125155901240342
528    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.08181818181818182 9.969822112717022 2.521719422596825 -5.108752549772893
529    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.08787878787878786 9.973786037864526 2.5888719641738893 -5.121674275039945
530    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.03333333333333333 9.953475831673499 2.6155250677470785 -5.1662231438259765
531    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.0393939393939394 9.925797622593603 2.5319494865815053 -5.172515520746776
532    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.012121212121212121 9.893034173384434 2.4958059644701467 -5.211688310093422
533    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.0060606060606060615 9.946659027657027 2.5274580465611076 -5.168496758589624
534    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.045454545454545456 10.014419212074609 2.568805262497247 -5.186679509803927
535    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.024242424242424242 9.916620891292634 2.482565743834844 -5.1033130813042
536    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.024242424242424242 9.977472529617636 2.4874577423079636 -5.172165265871584
537    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.06060606060606061 9.8967773180399 2.623025953367765 -5.129455664228143
538    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.0818181818181818 9.939910187877647 2.5604390275570874 -5.1104708944435675
539    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.027272727272727275 9.913148245858308 2.474260609077121 -5.237445220439341
540    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.0060606060606060615 9.941496547608814 2.5105165784634957 -5.157930176908224
541    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.027272727272727275 10.03127341065107 2.4603935144275355 -5.199102149767825
542    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.04242424242424243 9.93787615470463 2.5336970004190933 -5.163725055909923
543    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.012121212121212121 9.93538861569332 2.47407092630108 -5.226102375888182
544    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.1 9.994137008978713 2.5490159086352135 -5.045559736247357
545    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.021212121212121213 9.933682032970381 2.499870092549867 -5.17808250729761
546    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    0.0030303030303030303 9.844753344412695 2.4418926956024376 -5.264166177709229
547    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.17272727272727273 9.956305649694007 2.6111797042699587 -5.055931029102933
548    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.06363636363636363 9.966557152337327 2.5179597495237975 -5.135536793991208
549    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.06363636363636363 9.827745187835282 2.44268421921999 -4.984051407036241
550    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.027272727272727275 10.037328781006813 2.446623513706179 -5.1563865499326
551    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.04242424242424243 9.88104852540945 2.473941605119847 -5.140588155582553
552    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.07272727272727271 9.816943891779662 2.4863892244178536 -4.972061829654973
553    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.1212121212121212 9.918365747030766 2.5296662424318654 -5.007684132673523
554    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.08787878787878788 10.00186593850383 2.528305403041929 -5.162146670315595
555    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.03636363636363636 9.961489295078831 2.546824598552298 -5.107046850206279
556    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.024242424242424242 9.962201596129537 2.4925628551748193 -5.178964591433107
557    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.08787878787878788 9.971180466096325 2.5105107611699493 -5.073486058250545
558    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.01818181818181818 9.935886233414628 2.5064068936860084 -5.162557224167408
559    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.024242424242424242 9.924271826235257 2.5955449466913887 -5.2103018091169755
560    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    0.0030303030303030303 9.937924924459315 2.454493486835093 -5.2878086781118805
561    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.13939393939393938 9.930367743248162 2.6012995200029514 -5.028569173371865
562    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.05454545454545455 9.93919615207472 2.508987161190597 -5.154086898062991
563    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.03636363636363636 9.983645401641581 2.511158810504187 -5.145899765444245
564    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.0060606060606060615 9.875515049301217 2.480701898448575 -5.150976452323522
565    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.04242424242424243 10.053505904652665 2.490435138843467 -5.1660700970596345
566    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.05454545454545455 10.000463730251601 2.4267243215372982 -5.119077521841175
567    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.027272727272727275 9.944930672556486 2.5164064925402383 -5.154358871713338
568    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.024242424242424242 9.945544431751681 2.511862144355775 -5.161544014057549
569    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.09090909090909091 10.001579389958948 2.6140878747325926 -5.18805327518569
570    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.07272727272727271 9.941210970330292 2.5063747337418394 -5.147360508912244
571    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    0.012121212121212121 10.030088569544603 2.532411280034163 -5.210958099247335
572    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.030303030303030304 9.947147477608793 2.4795682265752896 -5.1341112125482455
573    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.012121212121212121 9.926975978937385 2.328932348091184 -5.102000592677352
574    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.03333333333333333 9.94408339398323 2.489661433760015 -5.138624779693046
