Step    Eff_PrevBest F1 F2 F3    Eff_Curr f1 f2 f3
80    0.006060606060606061 9.766925953502307 2.4180812554814612 -5.177756983750091    -0.027272727272727275 9.808218272382078 2.3338602938697024 -5.0415955585523955
81    0.006060606060606061 9.766925953502307 2.4180812554814612 -5.177756983750091    -0.012121212121212121 9.808991984418029 2.38925392123538 -5.184782130902637
82    0.006060606060606061 9.766925953502307 2.4180812554814612 -5.177756983750091    -0.027272727272727275 9.79898060329823 2.545710861054772 -5.2802904039940985
83    0.006060606060606061 9.766925953502307 2.4180812554814612 -5.177756983750091    0.006060606060606061 9.73008145206467 2.4179071231721507 -5.19485516148186
84    0.006060606060606061 9.766925953502307 2.4180812554814612 -5.177756983750091    -0.00909090909090909 9.72661246138245 2.480608387807563 -5.167097319987911
85    0.006060606060606061 9.766925953502307 2.4180812554814612 -5.177756983750091    -0.09696969696969696 9.82100140356256 2.542879111854867 -5.084040218921998
86    0.006060606060606061 9.766925953502307 2.4180812554814612 -5.177756983750091    0.0030303030303030303 9.80667102410965 2.3394376404406123 -5.201015709152851
87    0.006060606060606061 9.766925953502307 2.4180812554814612 -5.177756983750091    -0.012121212121212121 9.709738685979744 2.458348101764495 -5.208219544270238
88    0.006060606060606061 9.766925953502307 2.4180812554814612 -5.177756983750091    -0.024242424242424242 9.828459236208648 2.5617202787670705 -5.230821197944463
89    0.006060606060606061 9.766925953502307 2.4180812554814612 -5.177756983750091    0.0030303030303030303 9.876671031357521 2.4516803710255592 -5.248191549189744
90    0.006060606060606061 9.766925953502307 2.4180812554814612 -5.177756983750091    -0.00909090909090909 9.658803184677781 2.389071598130375 -5.120437293768945
91    0.006060606060606061 9.766925953502307 2.4180812554814612 -5.177756983750091    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112
92    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.024242424242424242 9.934866412553239 2.5677907140677463 -5.206113396183646
93    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.08787878787878788 9.867265347579062 2.53892782988881 -5.127860727055732
94    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.027272727272727275 9.938553093206526 2.4936544167181287 -5.153961782373896
95    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.0030303030303030307 9.93493932909116 2.5045493750713503 -5.156772172930271
96    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.05454545454545454 9.94002892255457 2.6492571426010723 -5.152306121763486
97    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.024242424242424242 9.946433842144339 2.5093123220276357 -5.1614796140132295
98    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.05454545454545455 9.947839562718032 2.516947166818027 -5.15696600175005
99    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.05757575757575757 9.820907726965894 2.5021726813553693 -5.0802727528309095
100    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    0.0030303030303030303 9.9204993934509 2.4228518370556578 -5.238098950483503
101    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.0393939393939394 9.937311532175919 2.4822708845302954 -5.175817416661945
102    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.03636363636363636 9.893699755691578 2.508295766639247 -5.176182394447773
103    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.08787878787878786 9.937433880338551 2.533619720688198 -5.129868331832724
104    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.00909090909090909 9.965683141029134 2.5026309688101747 -5.231929283059777
105    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.033333333333333326 10.004934899411321 2.5715475207642373 -5.23370393932773
106    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.024242424242424242 9.944538916612167 2.494301752092857 -5.1597738579196175
107    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.05757575757575758 9.92691597341658 2.5395408087363367 -5.146575913686444
108    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.00909090909090909 9.94871572380669 2.451070256149417 -5.131206938992533
109    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    0.0 10.051751127690036 2.3145224756339084 -5.332116162937931
110    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.05454545454545454 9.904186257380157 2.511208714161338 -5.09905288605631
111    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.0909090909090909 9.980094705871599 2.5230720391652204 -5.080911601800591
112    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.0393939393939394 9.944350160574636 2.4767030877535947 -5.167984526306678
113    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.0060606060606060615 9.84397488142236 2.5624529466866584 -5.378740479306181
114    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.06060606060606061 9.912229472213298 2.4458355352771797 -5.161017346200448
115    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.021212121212121213 9.940952406737527 2.509380906250967 -5.179023440315458
116    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.06969696969696969 9.923767205296016 2.539975922981786 -5.131093712881114
117    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.07575757575757575 9.892918258067953 2.527335845674241 -5.094299223604515
118    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    0.00909090909090909 9.959004617301197 2.5052802889658143 -5.1752349480862865
119    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.08181818181818182 9.86595118769266 2.559867249036522 -5.082798034815002
120    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.06969696969696969 10.049628685266923 2.5060589844331336 -5.15028863342087
121    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.07272727272727271 9.946243104015903 2.5202731568175283 -5.15919089552416
122    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.030303030303030304 9.973281775050797 2.5380489101026744 -5.105377185043205
123    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.05454545454545455 9.92155702750404 2.468282997846533 -5.1696173501508
124    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.030303030303030304 9.907300034841692 2.5107418915051296 -5.142828371735784
125    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.03636363636363636 9.946887354912821 2.5179281063273735 -5.1742945388575565
126    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    0.006060606060606061 9.886350662027537 2.494873889851448 -5.147369383991276
127    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.07272727272727271 9.797004457966798 2.6039382622306992 -5.134989250899776
128    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.00909090909090909 9.955145545490199 2.5042306153211524 -5.162844575087056
129    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.07272727272727271 9.90915038073227 2.5094599770783446 -5.11507799482796
130    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.00909090909090909 9.870810022669401 2.5173978847650567 -5.18679414073586
131    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.0060606060606060615 9.962726010217146 2.474694466321115 -5.176253160505018
132    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.07272727272727271 10.00737454176156 2.659132099036313 -5.198658255289027
133    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.04242424242424243 9.944947670711151 2.5105803409995997 -5.155080869463731
134    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.04242424242424243 9.950069886814674 2.4985688280620666 -5.15733295821847
135    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.027272727272727275 9.953109946443435 2.473038827460747 -5.2436702914056355
136    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.012121212121212121 9.938289961691066 2.476228450991368 -5.20145453386173
137    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.012121212121212121 10.029030919593982 2.5267378838640258 -5.349215399060245
138    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.0393939393939394 9.930752944975216 2.5339647167646833 -5.169484222049174
139    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.05757575757575758 9.978271827099105 2.430450995224232 -5.100966239370078
140    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.021212121212121213 9.883060477709302 2.531538173780804 -5.202376309844055
141    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    0.0030303030303030303 9.980902952240656 2.4110073455958334 -5.227330871561473
142    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.0393939393939394 9.878660283630866 2.4510576014886545 -5.129669665836213
143    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.5696969696969697 9.922082183753151 2.639165567121622 -4.968273328151721
144    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.024242424242424242 9.933596742474602 2.5429035574366328 -5.2337780086019805
145    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.05454545454545455 9.942740673868872 2.5060638429374995 -5.153382200604512
146    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.05454545454545455 9.916723441748074 2.49403136301346 -5.143745176837892
147    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.027272727272727275 9.926913395655081 2.542293103902513 -5.281944387850518
148    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.021212121212121213 9.910594889694313 2.5311379692921823 -5.202249877728794
149    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.0060606060606060615 9.936876377690036 2.4858603578196496 -5.170625837228331
150    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.021212121212121213 9.91457691172875 2.4743875069960932 -5.11051655660259
151    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.08181818181818182 9.918013609591583 2.55895278586599 -5.122109018318983
152    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.021212121212121213 9.929346230914637 2.4885218135238096 -5.150347872993177
153    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.03636363636363636 9.933026539263711 2.4778973778241995 -5.137920065174988
154    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.027272727272727275 9.961584937204611 2.5164878411023426 -5.148967270729322
155    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.05757575757575757 9.948849344045275 2.5219636640324996 -5.178424323186203
156    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.01818181818181818 10.012319167575352 2.517193605349116 -5.216089014967492
157    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.012121212121212121 10.012433181567648 2.5192772958463427 -5.300606193193145
158    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    0.0030303030303030303 9.953513371378078 2.4925762458701466 -5.150644100171648
159    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.08484848484848485 9.860491760423653 2.5310032113026457 -5.031066326942083
160    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.012121212121212121 9.936588751637757 2.503639619299899 -5.161231150165865
161    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.0393939393939394 9.946157221139929 2.5067460012935414 -5.159975803295996
162    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.030303030303030304 9.946427202884996 2.5995609520181606 -5.1167202731556864
163    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.0909090909090909 9.948156943283841 2.686298773826247 -5.199960102321576
164    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.024242424242424242 9.972155404903523 2.485962515678895 -5.208715187847325
165    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.027272727272727275 9.930520851445952 2.496893727679776 -5.14629771312512
166    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    0.00909090909090909 9.939645177330288 2.5057635722460514 -5.16083729770517
167    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.11818181818181818 9.945078402219002 2.5937318560250104 -5.084558525849547
168    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.04242424242424243 9.956773703286366 2.4841828570940843 -5.154810711975891
169    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.00909090909090909 9.905482225249457 2.416749757554597 -5.18695097580271
170    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.021212121212121213 9.951620572868075 2.4971514107667763 -5.138328098109567
171    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.024242424242424242 9.927355686698437 2.4785803483609037 -5.157583122633585
172    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.012121212121212121 9.82507772467199 2.51693736987883 -5.330487028734995
173    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.08484848484848485 9.935779832344547 2.6228076814245185 -5.091705389174491
174    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.024242424242424242 9.89034266148678 2.4776527430033695 -5.125572438400183
175    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.0060606060606060615 9.920221231267853 2.4707757897573717 -5.135399413011271
176    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.06060606060606061 10.025138910758411 2.5599808844807828 -5.068586645698893
177    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.024242424242424242 9.856447599035521 2.5605019503175237 -5.214719028832954
178    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.021212121212121213 9.932226827794908 2.517623063697098 -5.164661925714633
